"Header","Function","Gauche","Implement","Test","Status","Note"
"hpdf.h","HPDF_AddPage","hpdf-add-page","Yes","No","NG",
"hpdf.h","HPDF_AddPageLabel","hpdf-add-page-label","No","No","NG",
"hpdf.h","HPDF_CreateExtGState","hpdf-create-ext-gstate","No","No","NG",
"hpdf.h","HPDF_CreateOutline","hpdf-create-outline","Yes","No","NG",
"hpdf.h","HPDF_Destination_SetFit","hpdf-destination-set-fit","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitB","hpdf-destination-set-fitb","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitBH","hpdf-destination-set-fitbh","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitBV","hpdf-destination-set-fitbv","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitH","hpdf-destination-set-fith","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitR","hpdf-destination-set-fitr","No","No","NG",
"hpdf.h","HPDF_Destination_SetFitV","hpdf-destination-set-fitv","No","No","NG",
"hpdf.h","HPDF_Destination_SetXYZ","hpdf-destination-set-xyz","No","No","NG",
"hpdf.h","HPDF_Encoder_GetByteType","hpdf-encoder-get-byte-type","No","No","NG",
"hpdf.h","HPDF_Encoder_GetType","hpdf-encoder-get-type","No","No","NG",
"hpdf.h","HPDF_Encoder_GetUnicode","hpdf-encoder-get-unicode","No","No","NG",
"hpdf.h","HPDF_Encoder_GetWritingMode","hpdf-encoder-get-writing-mode","No","No","NG",
"hpdf.h","HPDF_ExtGState_SetAlphaFill","hpdf-ext-gstate-set-alpha-fill","No","No","NG",
"hpdf.h","HPDF_ExtGState_SetAlphaStroke","hpdf-ext-gstate-set-alpha-stroke","No","No","NG",
"hpdf.h","HPDF_ExtGState_SetBlendMode","hpdf-ext-gstate-set-blend-mode","No","No","NG",
"hpdf.h","HPDF_Font_GetAscent","hpdf-font-get-ascent","No","No","NG",
"hpdf.h","HPDF_Font_GetBBox","hpdf-font-get-bbox","No","No","NG",
"hpdf.h","HPDF_Font_GetCapHeight","hpdf-font-get-cap-height","No","No","NG",
"hpdf.h","HPDF_Font_GetDescent","hpdf-font-get-descent","No","No","NG",
"hpdf.h","HPDF_Font_GetEncodingName","hpdf-font-get-encoding-name","No","No","NG",
"hpdf.h","HPDF_Font_GetFontName","hpdf-font-get-font-name","No","No","NG",
"hpdf.h","HPDF_Font_GetUnicodeWidth","hpdf-font-get-unicode-width","No","No","NG",
"hpdf.h","HPDF_Font_GetXHeight","hpdf-font-get-xheight","No","No","NG",
"hpdf.h","HPDF_Font_MeasureText","hpdf-font-measure-text","No","No","NG",
"hpdf.h","HPDF_Font_TextWidth","hpdf-font-text-width","No","No","NG",
"hpdf.h","HPDF_Free","hpdf-free","No","No","NG",
"hpdf.h","HPDF_FreeDoc","hpdf-free-doc","No","No","NG",
"hpdf.h","HPDF_FreeDocAll","hpdf-free-doc-all","No","No","NG",
"hpdf.h","HPDF_GetCurrentEncoder","hpdf-get-current-encoder","No","No","NG",
"hpdf.h","HPDF_GetCurrentPage","hpdf-get-current-page","No","No","NG",
"hpdf.h","HPDF_GetEncoder","hpdf-get-encoder","No","No","NG",
"hpdf.h","HPDF_GetError","hpdf-get-error","No","No","NG",
"hpdf.h","HPDF_GetErrorDetail","hpdf-get-error-detail","No","No","NG",
"hpdf.h","HPDF_GetFont","hpdf-get-font","Yes","Yes","OK",
"hpdf.h","HPDF_GetInfoAttr","hpdf-get-info-attr","Yes","Yes","OK",
"hpdf.h","HPDF_GetPageByIndex","hpdf-get-page-by-index","No","No","NG",
"hpdf.h","HPDF_GetPageLayout","hpdf-get-page-layout","No","No","NG",
"hpdf.h","HPDF_GetPageMode","hpdf-get-page-mode","No","No","NG",
"hpdf.h","HPDF_GetStreamSize","hpdf-get-stream-size","No","No","NG",
"hpdf.h","HPDF_GetVersion","hpdf-get-version","Yes","Yes","OK",
"hpdf.h","HPDF_GetViewerPreference","hpdf-get-viewer-preference","No","No","NG",
"hpdf.h","HPDF_HasDoc","hpdf-has-doc","No","No","NG",
"hpdf.h","HPDF_Image_GetBitsPerComponent","hpdf-image-get-bits-per-component","No","No","NG",
"hpdf.h","HPDF_Image_GetColorSpace","hpdf-image-get-color-space","No","No","NG",
"hpdf.h","HPDF_Image_GetHeight","hpdf-image-get-height","No","No","NG",
"hpdf.h","HPDF_Image_GetSize","hpdf-image-get-size","No","No","NG",
"hpdf.h","HPDF_Image_GetSize2","hpdf-image-get-size2","No","No","NG",
"hpdf.h","HPDF_Image_GetWidth","hpdf-image-get-width","No","No","NG",
"hpdf.h","HPDF_Image_SetColorMask","hpdf-image-set-color-mask","No","No","NG",
"hpdf.h","HPDF_Image_SetMaskImage","hpdf-image-set-mask-image","No","No","NG",
"hpdf.h","HPDF_InsertPage","hpdf-insert-page","No","No","NG",
"hpdf.h","HPDF_LinkAnnot_SetBorderStyle","hpdf-link-annot-set-border-style","No","No","NG",
"hpdf.h","HPDF_LinkAnnot_SetHighlightMode","hpdf-link-annot-set-highlight-mode","No","No","NG",
"hpdf.h","HPDF_LoadJpegImageFromFile","hpdf-load-jpeg-image-from-file","No","No","NG",
"hpdf.h","HPDF_LoadPngImageFromFile","hpdf-load-png-image-from-file","No","No","NG",
"hpdf.h","HPDF_LoadPngImageFromFile2","hpdf-load-png-image-from-file2","No","No","NG",
"hpdf.h","HPDF_LoadRawImageFromFile","hpdf-load-raw-image-from-file","No","No","NG",
"hpdf.h","HPDF_LoadRawImageFromMem","hpdf-load-raw-image-from-mem","No","No","NG",
"hpdf.h","HPDF_LoadTTFontFromFile","hpdf-load-ttf-font-from-file","Yes","Yes","OK",
"hpdf.h","HPDF_LoadTTFontFromFile2","hpdf-load-ttf-font-from-file2","Yes","Yes","OK",
"hpdf.h","HPDF_LoadType1FontFromFile","hpdf-load-type1-font-from-file","Yes","No","NG",
"hpdf.h","HPDF_New","hpdf-new","Yes","No","NG",
"hpdf.h","HPDF_NewDoc","hpdf-new-doc","No","No","NG",
"hpdf.h","HPDF_NewEx","hpdf-new-ex","No","No","NG",
"hpdf.h","HPDF_Outline_SetDestination","hpdf-outline-set-destination","No","No","NG",
"hpdf.h","HPDF_Outline_SetOpened","hpdf-outline-set-opened","No","No","NG",
"hpdf.h","HPDF_Page_Arc","hpdf-page-arc","No","No","NG",
"hpdf.h","HPDF_Page_BeginText","hpdf-page-begin-text","No","No","NG",
"hpdf.h","HPDF_Page_Circle","hpdf-page-circle","No","No","NG",
"hpdf.h","HPDF_Page_Clip","hpdf-page-clip","No","No","NG",
"hpdf.h","HPDF_Page_ClosePath","hpdf-page-close-path","No","No","NG",
"hpdf.h","HPDF_Page_ClosePathEofillStroke","hpdf-page-close-path-eofill-stroke","No","No","NG",
"hpdf.h","HPDF_Page_ClosePathFillStroke","hpdf-page-close-path-fill-stroke","No","No","NG",
"hpdf.h","HPDF_Page_ClosePathStroke","hpdf-page-close-path-stroke","No","No","NG",
"hpdf.h","HPDF_Page_Concat","hpdf-page-concat","No","No","NG",
"hpdf.h","HPDF_Page_CreateDestination","hpdf-page-create-destination","No","No","NG",
"hpdf.h","HPDF_Page_CreateLinkAnnot","hpdf-page-create-link-annot","No","No","NG",
"hpdf.h","HPDF_Page_CreateTextAnnot","hpdf-page-create-text-annot","No","No","NG",
"hpdf.h","HPDF_Page_CreateURILinkAnnot","hpdf-page-crate-uri-link-annot","No","No","NG",
"hpdf.h","HPDF_Page_CurveTo","hpdf-page-curve-to","No","No","NG",
"hpdf.h","HPDF_Page_CurveTo2","hpdf-page-curve-to2","No","No","NG",
"hpdf.h","HPDF_Page_CurveTo3","hpdf-page-curve-to3","No","No","NG",
"hpdf.h","HPDF_Page_DrawImage","hpdf-page-draw-image","No","No","NG",
"hpdf.h","HPDF_Page_Ellipse","hpdf-page-ellipse","No","No","NG",
